reviewTitle,reviewBody,aspect,categorized_aspect,sentiment
Great bargain!,"Nice looking shoe at a fraction of the price of similar shoes.  Great value and looked as good as the other more expensive shoes. It fit well and is comfortable. Very lightweight. Sock shoes like these donʻt have the support like other sneakers, so, by the end of a full day, my feet hurt.  However, other shoes might have felt the same way.  Regardless, at that price, I would definitely buy it again.",feet hurt by end of day,other,negative
Could be softer,"I like the idea of two threads, indeed it makes the flossing easier and cleans better. However I find the threads too hard. The ones I had before were softer and more gentle to my gums.",two threads,other,positive
Could be softer,"I like the idea of two threads, indeed it makes the flossing easier and cleans better. However I find the threads too hard. The ones I had before were softer and more gentle to my gums.",threads too hard,other,negative
Great for tall people,"My husband is 6'5"". This upright walker allows him to stand straight and not hurt his back. He is very pleased.",upright walker,other,positive
Great for tall people,"My husband is 6'5"". This upright walker allows him to stand straight and not hurt his back. He is very pleased.",allows husband to stand straight,other,positive
Great for tall people,"My husband is 6'5"". This upright walker allows him to stand straight and not hurt his back. He is very pleased.",does not hurt his back,other,positive
Great for tall people,"My husband is 6'5"". This upright walker allows him to stand straight and not hurt his back. He is very pleased.",pleases husband,other,positive
Awesome,Worth buying,,other,positive
False advertising,"I'm so upset with these pieces of junk. Most weren't anywhere near the sizes advertised here and the one that were are completely unusable due to splits, chips and cracks. For the price they are charging for this petrified elephant excrement you could go to a craft store and get better ones. Heck, chip some concrete off the sidewalk and it would be better. Do not waste your money!",size accuracy,other,negative
False advertising,"I'm so upset with these pieces of junk. Most weren't anywhere near the sizes advertised here and the one that were are completely unusable due to splits, chips and cracks. For the price they are charging for this petrified elephant excrement you could go to a craft store and get better ones. Heck, chip some concrete off the sidewalk and it would be better. Do not waste your money!",quality,quality,negative
False advertising,"I'm so upset with these pieces of junk. Most weren't anywhere near the sizes advertised here and the one that were are completely unusable due to splits, chips and cracks. For the price they are charging for this petrified elephant excrement you could go to a craft store and get better ones. Heck, chip some concrete off the sidewalk and it would be better. Do not waste your money!",price value,price,negative
Smells so good,Donated product but this cologne smells amazing,cologne,other,positive
Smells so good,Donated product but this cologne smells amazing,donated product,other,neutral
Holds up well,I use it daily as a Hospice Nurse. It reads well in this frail population.,product readability,other,positive
Holds up well,I use it daily as a Hospice Nurse. It reads well in this frail population.,suitability for frail population,other,positive
It is comfortable and easy to place.,"It is comfortable and easy to place,",comfort,comfort,positive
It is comfortable and easy to place.,"It is comfortable and easy to place,",placement ease,other,positive
Not entirely leather on the outside!,"Description says this is a leather bag and/or I missed the part about the non-leather slide pocket?? To me, this looks far different in person than it did in the pictures and the video in the listing. It’s not attractive at all, and I’m going to return it. I initially thought I’d accidentally gotten a fake but then noticed others reporting this in their reviews.  I guess I should have read them first, but the reason I didn’t was because I had bought a really similar bag from this company in the past; thus, I may not have been discerning enough in reading about this one. Either way, the difference in materials is not the look for me, especially given the price I paid.",description accuracy,other,negative
Not entirely leather on the outside!,"Description says this is a leather bag and/or I missed the part about the non-leather slide pocket?? To me, this looks far different in person than it did in the pictures and the video in the listing. It’s not attractive at all, and I’m going to return it. I initially thought I’d accidentally gotten a fake but then noticed others reporting this in their reviews.  I guess I should have read them first, but the reason I didn’t was because I had bought a really similar bag from this company in the past; thus, I may not have been discerning enough in reading about this one. Either way, the difference in materials is not the look for me, especially given the price I paid.",product appearance,appearance,negative
Not entirely leather on the outside!,"Description says this is a leather bag and/or I missed the part about the non-leather slide pocket?? To me, this looks far different in person than it did in the pictures and the video in the listing. It’s not attractive at all, and I’m going to return it. I initially thought I’d accidentally gotten a fake but then noticed others reporting this in their reviews.  I guess I should have read them first, but the reason I didn’t was because I had bought a really similar bag from this company in the past; thus, I may not have been discerning enough in reading about this one. Either way, the difference in materials is not the look for me, especially given the price I paid.",material quality,quality,negative
Not entirely leather on the outside!,"Description says this is a leather bag and/or I missed the part about the non-leather slide pocket?? To me, this looks far different in person than it did in the pictures and the video in the listing. It’s not attractive at all, and I’m going to return it. I initially thought I’d accidentally gotten a fake but then noticed others reporting this in their reviews.  I guess I should have read them first, but the reason I didn’t was because I had bought a really similar bag from this company in the past; thus, I may not have been discerning enough in reading about this one. Either way, the difference in materials is not the look for me, especially given the price I paid.",price value,price,negative
Very close match. Very satisfied. Would order again.,Very satisfied. Easy to apply. Color very close.,easy to apply,other,positive
Very close match. Very satisfied. Would order again.,Very satisfied. Easy to apply. Color very close.,color very close,appearance,positive
Very close match. Very satisfied. Would order again.,Very satisfied. Easy to apply. Color very close.,very satisfied,other,positive
Awesome,Exc product,product,other,positive
Soft and comfortable!,"This shirt is so soft and comfortable! The fit is good but the only negative thing is that it's a little short and could stand to be a little longer at the bottom. Hopefully, it won't shrink when I wash it. Really happy with it!",softness,other,positive
Soft and comfortable!,"This shirt is so soft and comfortable! The fit is good but the only negative thing is that it's a little short and could stand to be a little longer at the bottom. Hopefully, it won't shrink when I wash it. Really happy with it!",comfortability,comfort,positive
Soft and comfortable!,"This shirt is so soft and comfortable! The fit is good but the only negative thing is that it's a little short and could stand to be a little longer at the bottom. Hopefully, it won't shrink when I wash it. Really happy with it!",fit,other,neutral
Soft and comfortable!,"This shirt is so soft and comfortable! The fit is good but the only negative thing is that it's a little short and could stand to be a little longer at the bottom. Hopefully, it won't shrink when I wash it. Really happy with it!",length,other,negative
sharp,"easy to use, easy to hold, very sharp wheel.  Make sure you close the guard around the wheel before taking apart because you can easily cut yourself while disassembling the cutter.",easy to use,functionality,positive
sharp,"easy to use, easy to hold, very sharp wheel.  Make sure you close the guard around the wheel before taking apart because you can easily cut yourself while disassembling the cutter.",easy to hold,other,positive
sharp,"easy to use, easy to hold, very sharp wheel.  Make sure you close the guard around the wheel before taking apart because you can easily cut yourself while disassembling the cutter.",very sharp wheel,other,positive
sharp,"easy to use, easy to hold, very sharp wheel.  Make sure you close the guard around the wheel before taking apart because you can easily cut yourself while disassembling the cutter.",instructions for disassembly,other,neutral
Perfect,Nice and easy to use. Just what I wanted.,ease of use,functionality,positive
Perfect,Nice and easy to use. Just what I wanted.,satisfaction with product,other,positive
True fit,Fits like they should,fit,other,positive
Durable,One of my new pup’s favorite toys!,toy quality,quality,positive
Durable,One of my new pup’s favorite toys!,pup's preference,other,positive
Great Product!,Great Value!,product,other,positive
Awesome,Great product!! Very sturdy,sturdy,other,positive
Awesome,Great product!! Very sturdy,product,other,positive
Ext cord,Very good for a space air conditioner that was a little too far away from the outlet. No problems at all with it.,air conditioner performance,functionality,positive
Ext cord,Very good for a space air conditioner that was a little too far away from the outlet. No problems at all with it.,placement near outlet,other,neutral
Was a gift,Fit great,fit,other,positive
Just what I needed,"Easy to use, good adhesion. Clean and dry area to be caulked. You cut off the tip at a 45º angle, squeeze out a narrow bead, and shape with a wet finger if necessary.  Replace the cap when finished. Give it 24 hours and you can use the shower/tub/whatever you caulked. Good value for the money.",Easy to use,functionality,positive
Just what I needed,"Easy to use, good adhesion. Clean and dry area to be caulked. You cut off the tip at a 45º angle, squeeze out a narrow bead, and shape with a wet finger if necessary.  Replace the cap when finished. Give it 24 hours and you can use the shower/tub/whatever you caulked. Good value for the money.",Good adhesion,other,positive
Just what I needed,"Easy to use, good adhesion. Clean and dry area to be caulked. You cut off the tip at a 45º angle, squeeze out a narrow bead, and shape with a wet finger if necessary.  Replace the cap when finished. Give it 24 hours and you can use the shower/tub/whatever you caulked. Good value for the money.",Clean and dry area to be caulked,other,neutral
Just what I needed,"Easy to use, good adhesion. Clean and dry area to be caulked. You cut off the tip at a 45º angle, squeeze out a narrow bead, and shape with a wet finger if necessary.  Replace the cap when finished. Give it 24 hours and you can use the shower/tub/whatever you caulked. Good value for the money.",Instructions for application,other,positive
Just what I needed,"Easy to use, good adhesion. Clean and dry area to be caulked. You cut off the tip at a 45º angle, squeeze out a narrow bead, and shape with a wet finger if necessary.  Replace the cap when finished. Give it 24 hours and you can use the shower/tub/whatever you caulked. Good value for the money.",Value for the money,price,positive
No,The color is so bad in person,color,appearance,negative
not percale,"I love percale sheets -I like the cool crispness of them year round. I get that others like sateen, flannel, etc. but me - percale. I bought these because I needed 'deeper' sheets for a new mattress and they claimed to be percale. They are not in anyway a percale sheet -and they are scratchy. I've washed them many times -still scratchy. Soft, clingly, scratchy sheets.",percale sheets,other,positive
not percale,"I love percale sheets -I like the cool crispness of them year round. I get that others like sateen, flannel, etc. but me - percale. I bought these because I needed 'deeper' sheets for a new mattress and they claimed to be percale. They are not in anyway a percale sheet -and they are scratchy. I've washed them many times -still scratchy. Soft, clingly, scratchy sheets.",cool crispness,other,positive
not percale,"I love percale sheets -I like the cool crispness of them year round. I get that others like sateen, flannel, etc. but me - percale. I bought these because I needed 'deeper' sheets for a new mattress and they claimed to be percale. They are not in anyway a percale sheet -and they are scratchy. I've washed them many times -still scratchy. Soft, clingly, scratchy sheets.",deeper sheets for a new mattress,other,neutral
not percale,"I love percale sheets -I like the cool crispness of them year round. I get that others like sateen, flannel, etc. but me - percale. I bought these because I needed 'deeper' sheets for a new mattress and they claimed to be percale. They are not in anyway a percale sheet -and they are scratchy. I've washed them many times -still scratchy. Soft, clingly, scratchy sheets.",sheets are percale,other,negative
not percale,"I love percale sheets -I like the cool crispness of them year round. I get that others like sateen, flannel, etc. but me - percale. I bought these because I needed 'deeper' sheets for a new mattress and they claimed to be percale. They are not in anyway a percale sheet -and they are scratchy. I've washed them many times -still scratchy. Soft, clingly, scratchy sheets.",scratchiness,other,negative
not percale,"I love percale sheets -I like the cool crispness of them year round. I get that others like sateen, flannel, etc. but me - percale. I bought these because I needed 'deeper' sheets for a new mattress and they claimed to be percale. They are not in anyway a percale sheet -and they are scratchy. I've washed them many times -still scratchy. Soft, clingly, scratchy sheets.",softness,other,negative
not percale,"I love percale sheets -I like the cool crispness of them year round. I get that others like sateen, flannel, etc. but me - percale. I bought these because I needed 'deeper' sheets for a new mattress and they claimed to be percale. They are not in anyway a percale sheet -and they are scratchy. I've washed them many times -still scratchy. Soft, clingly, scratchy sheets.",clinging quality,quality,negative
Disappointed,I love the design but after 3 months of regular use 2 of the bowls started chipping.,design,quality,positive
Disappointed,I love the design but after 3 months of regular use 2 of the bowls started chipping.,durability,quality,negative
Disappointed,I love the design but after 3 months of regular use 2 of the bowls started chipping.,performance,functionality,neutral
They set the bar!,Packaging was perfect! I'm so glad it came packaged in a box and not a bag! Shipping was fast and the product was.....BEAUTIFUL!,packaging,other,positive
They set the bar!,Packaging was perfect! I'm so glad it came packaged in a box and not a bag! Shipping was fast and the product was.....BEAUTIFUL!,shipping,service,positive
They set the bar!,Packaging was perfect! I'm so glad it came packaged in a box and not a bag! Shipping was fast and the product was.....BEAUTIFUL!,product appearance,appearance,positive
Blades,Works as advertised,performance,functionality,neutral
Very good product.,Mosquito repellent and tick repellent.,Mosquito repellent,other,neutral
Very good product.,Mosquito repellent and tick repellent.,Tick repellent,other,neutral
Cuts the grease,This shampoo did a great job of helping to control how greasy my hair gets. It's way better than other shampoos aimed at greasy hair.,controlling greasiness,other,positive
Cuts the grease,This shampoo did a great job of helping to control how greasy my hair gets. It's way better than other shampoos aimed at greasy hair.,better than other products aimed at greasy hair,other,positive
Small,Love these but smaller than I anticipated,product size,other,negative
Great product,Great product and service,product,other,positive
Great product,Great product and service,service,service,positive
Best diffuser for curly hair,Works great. So glad I got this.Way better than the diffuser attachments that you can buy. Also very handy that you can take the diffuser part off if you need.,performance,functionality,positive
Best diffuser for curly hair,Works great. So glad I got this.Way better than the diffuser attachments that you can buy. Also very handy that you can take the diffuser part off if you need.,attachment options,other,positive
Best diffuser for curly hair,Works great. So glad I got this.Way better than the diffuser attachments that you can buy. Also very handy that you can take the diffuser part off if you need.,portability,other,positive
Must have for safety on ladders,"After using a friends ladder with these, I've outfitted three of my extension ladders and will buy two more soon so I have them on all of them.  For working on uneven ground these work great and provide much safer stability than trying to shim one side with wood/etc.  These adjust very easy.  When it comes to ladder safety these are worth every penny vs having a ladder fall.",adjustability,other,positive
Must have for safety on ladders,"After using a friends ladder with these, I've outfitted three of my extension ladders and will buy two more soon so I have them on all of them.  For working on uneven ground these work great and provide much safer stability than trying to shim one side with wood/etc.  These adjust very easy.  When it comes to ladder safety these are worth every penny vs having a ladder fall.",stability on uneven ground,other,positive
Must have for safety on ladders,"After using a friends ladder with these, I've outfitted three of my extension ladders and will buy two more soon so I have them on all of them.  For working on uneven ground these work great and provide much safer stability than trying to shim one side with wood/etc.  These adjust very easy.  When it comes to ladder safety these are worth every penny vs having a ladder fall.",value for ladder safety,price,positive
Perfect,Great poly bag set.,poly bag set,other,positive
Amazing results,I am so impressed with my purchase,purchase,other,positive
Worth every penny,Love these pillowcases don’t wake up sweating like I use to and able to sleep through the night.,Pillowcases,other,positive
Worth every penny,Love these pillowcases don’t wake up sweating like I use to and able to sleep through the night.,Sleeping through the night,other,positive
Worth every penny,Love these pillowcases don’t wake up sweating like I use to and able to sleep through the night.,Not waking up sweating,other,positive
great deal,"my only complaint would be that the box was covered in white dust/residue. somewhat of a concern considering I bought this for smokeables. but, the grinder is decent and the metal containers are great. I use this box as a bedside backup basically and it's pretty much perfect. you guys should throw in an ashtray that fits in one of the smaller sections and a poke tool and raise the price and it would be perfect!",grinder,other,neutral
great deal,"my only complaint would be that the box was covered in white dust/residue. somewhat of a concern considering I bought this for smokeables. but, the grinder is decent and the metal containers are great. I use this box as a bedside backup basically and it's pretty much perfect. you guys should throw in an ashtray that fits in one of the smaller sections and a poke tool and raise the price and it would be perfect!",metal containers,other,positive
great deal,"my only complaint would be that the box was covered in white dust/residue. somewhat of a concern considering I bought this for smokeables. but, the grinder is decent and the metal containers are great. I use this box as a bedside backup basically and it's pretty much perfect. you guys should throw in an ashtray that fits in one of the smaller sections and a poke tool and raise the price and it would be perfect!",box quality,quality,negative
great deal,"my only complaint would be that the box was covered in white dust/residue. somewhat of a concern considering I bought this for smokeables. but, the grinder is decent and the metal containers are great. I use this box as a bedside backup basically and it's pretty much perfect. you guys should throw in an ashtray that fits in one of the smaller sections and a poke tool and raise the price and it would be perfect!","additional features (ashtray, poke tool)",other,neutral
Great for a big man,I love how the mattress adjust to my body The sleep quality is the best,The mattress adjust to my body,other,positive
Great for a big man,I love how the mattress adjust to my body The sleep quality is the best,sleep quality,quality,positive
Lightweight & comfortable- Screws keep coming loose,I love my glasses but am disappointed because the screw on two of the three pair that came with my order keep coming loose and I had to buy a new one. Disappointed this is a reoccurring problem because I really like the glasses.,glasses,other,positive
Lightweight & comfortable- Screws keep coming loose,I love my glasses but am disappointed because the screw on two of the three pair that came with my order keep coming loose and I had to buy a new one. Disappointed this is a reoccurring problem because I really like the glasses.,screw quality,quality,negative
Lightweight & comfortable- Screws keep coming loose,I love my glasses but am disappointed because the screw on two of the three pair that came with my order keep coming loose and I had to buy a new one. Disappointed this is a reoccurring problem because I really like the glasses.,packaging (number of pairs),other,neutral
Poor quality,The connectors work well until you move the device that it’s plugged into then it loses connection and quit playing whatever media is being played,connectors,other,positive
Poor quality,The connectors work well until you move the device that it’s plugged into then it loses connection and quit playing whatever media is being played,connection reliability,other,negative
Poor quality,The connectors work well until you move the device that it’s plugged into then it loses connection and quit playing whatever media is being played,device portability,other,negative
Not quite like the pictures.,The product looks good but definitely not like the pics. The color looks faded in comparison to the vibrant colors in the pics.,product appearance,appearance,negative
Not quite like the pictures.,The product looks good but definitely not like the pics. The color looks faded in comparison to the vibrant colors in the pics.,color accuracy,appearance,negative
Perfect!,Great quality no issues installing at my car!,quality,quality,positive
Perfect!,Great quality no issues installing at my car!,installation,other,positive
"Kind of thin, heats up really fast","The pot seems a little thin, which i think might be bad.  I'm not an expert, but things heat up faster than with my other pot, maybe that's good?  There is a tendency for stuff like chili to get too hot, even on my gas stoves' lowest setting, stuff bubbling like mad when on Warm...that's not good is it? I had to adjust to where there's hardly any flame at all to get my chili to just simmer( light bubbling).  So far no problem with sticking.",pot material/thickness,other,neutral
"Kind of thin, heats up really fast","The pot seems a little thin, which i think might be bad.  I'm not an expert, but things heat up faster than with my other pot, maybe that's good?  There is a tendency for stuff like chili to get too hot, even on my gas stoves' lowest setting, stuff bubbling like mad when on Warm...that's not good is it? I had to adjust to where there's hardly any flame at all to get my chili to just simmer( light bubbling).  So far no problem with sticking.",heating performance,functionality,mixed
"Kind of thin, heats up really fast","The pot seems a little thin, which i think might be bad.  I'm not an expert, but things heat up faster than with my other pot, maybe that's good?  There is a tendency for stuff like chili to get too hot, even on my gas stoves' lowest setting, stuff bubbling like mad when on Warm...that's not good is it? I had to adjust to where there's hardly any flame at all to get my chili to just simmer( light bubbling).  So far no problem with sticking.",temperature control,other,negative
"Kind of thin, heats up really fast","The pot seems a little thin, which i think might be bad.  I'm not an expert, but things heat up faster than with my other pot, maybe that's good?  There is a tendency for stuff like chili to get too hot, even on my gas stoves' lowest setting, stuff bubbling like mad when on Warm...that's not good is it? I had to adjust to where there's hardly any flame at all to get my chili to just simmer( light bubbling).  So far no problem with sticking.",sticking/non-stick properties,other,positive
THESE ARE AMAZING!! CHANGED MY DOGS LIFE,"If your dog has seasonal or food allergies GET THESE! Skin rashes, hot spots, ear infections all gone. Made the mistake of forgetting to order some once and my dog immediately broke out until I bought more.",product effectiveness for seasonal or food allergies,other,positive
THESE ARE AMAZING!! CHANGED MY DOGS LIFE,"If your dog has seasonal or food allergies GET THESE! Skin rashes, hot spots, ear infections all gone. Made the mistake of forgetting to order some once and my dog immediately broke out until I bought more.",ease of ordering,other,neutral
THESE ARE AMAZING!! CHANGED MY DOGS LIFE,"If your dog has seasonal or food allergies GET THESE! Skin rashes, hot spots, ear infections all gone. Made the mistake of forgetting to order some once and my dog immediately broke out until I bought more.",product reliability (reorderability),other,positive
THESE ARE AMAZING!! CHANGED MY DOGS LIFE,"If your dog has seasonal or food allergies GET THESE! Skin rashes, hot spots, ear infections all gone. Made the mistake of forgetting to order some once and my dog immediately broke out until I bought more.","side effects (ear infections, hot spots, etc.)",other,negative
Buy one size larger than you wear for shrinkage.,This product is great for any working person. You must buy at least one size larger than you wear due to shrinkage during washing.,product quality,quality,positive
Buy one size larger than you wear for shrinkage.,This product is great for any working person. You must buy at least one size larger than you wear due to shrinkage during washing.,sizing,other,neutral
Perfect!,"Perfect for storing lunch,  snack and breakfast items for the school year!",storage capacity,other,positive
Perfect!,"Perfect for storing lunch,  snack and breakfast items for the school year!",usage scenario,other,positive
EXCEPTIONAL condition,Packaged with the BEST protection for the box and literally in pristine condition. I wish everyone protected their products like you!,packaging and protection,other,positive
EXCEPTIONAL condition,Packaged with the BEST protection for the box and literally in pristine condition. I wish everyone protected their products like you!,product condition,other,positive
Not a fun bike to ride.,The price I paid for this bike is not worth it. Too small tire and very low clearance. Short driver handel makes it difficult to control,price,price,negative
Not a fun bike to ride.,The price I paid for this bike is not worth it. Too small tire and very low clearance. Short driver handel makes it difficult to control,tire size,other,negative
Not a fun bike to ride.,The price I paid for this bike is not worth it. Too small tire and very low clearance. Short driver handel makes it difficult to control,clearance,other,negative
Not a fun bike to ride.,The price I paid for this bike is not worth it. Too small tire and very low clearance. Short driver handel makes it difficult to control,driver handle control,other,negative
Quality ingredients,Used this product for immune support burning these times. Since taking these I have not had a cold or any type of respiratory issues,immune support,service,positive
Quality ingredients,Used this product for immune support burning these times. Since taking these I have not had a cold or any type of respiratory issues,preventing cold and respiratory issues,other,positive
Great Robe!,Love this robe! The weight is perfect - not bulky but plenty warm.,weight,other,positive
Great Robe!,Love this robe! The weight is perfect - not bulky but plenty warm.,warmth,other,positive
Lovely,Lovely,,other,positive
Great Product - Poor Documentation,This product works well although would sell better if the company hired me to do a grammer and spell check on the paperwork. The current documents make the product seem less than legit.,product quality,quality,positive
Great Product - Poor Documentation,This product works well although would sell better if the company hired me to do a grammer and spell check on the paperwork. The current documents make the product seem less than legit.,paperwork and documentation,other,negative
Great Product - Poor Documentation,This product works well although would sell better if the company hired me to do a grammer and spell check on the paperwork. The current documents make the product seem less than legit.,company hiring practices,other,neutral
Buddha.,Very good .,,other,neutral
Adequate for cars party.,Very funny for cars.,humor,other,positive
Yum,Best Atkins bar ever !!,product quality,quality,positive
Yum,Best Atkins bar ever !!,overall experience,other,positive
Great buy!!!,My daughter absolutely loves these headphones!!! The regular kind don't stay in her ears for some reason so I bought these for her instead. Now all she ask me is if she can wear her headphones all day. She's 4 and likes to listen to music a lot. I was tired of hearing the same 4 songs over and over again so this was my solution and I don't regret it at all. Great buy!,headphones' quality,quality,positive
Great buy!!!,My daughter absolutely loves these headphones!!! The regular kind don't stay in her ears for some reason so I bought these for her instead. Now all she ask me is if she can wear her headphones all day. She's 4 and likes to listen to music a lot. I was tired of hearing the same 4 songs over and over again so this was my solution and I don't regret it at all. Great buy!,headphones' durability (staying in ears),quality,positive
Great buy!!!,My daughter absolutely loves these headphones!!! The regular kind don't stay in her ears for some reason so I bought these for her instead. Now all she ask me is if she can wear her headphones all day. She's 4 and likes to listen to music a lot. I was tired of hearing the same 4 songs over and over again so this was my solution and I don't regret it at all. Great buy!,product's effectiveness as a solution to hearing same songs repeatedly,other,positive
Works great!,Works exactly like how I wanted! It made my dog calmer when I left him at home and not as anxious! Perfect!,works exactly like how I wanted,functionality,positive
Works great!,Works exactly like how I wanted! It made my dog calmer when I left him at home and not as anxious! Perfect!,made my dog calmer when I left him at home and not as anxious,other,positive
Works great!,Works exactly like how I wanted! It made my dog calmer when I left him at home and not as anxious! Perfect!,perfect,other,positive
Never seen cracks like this!,Spider web like cracks on the front of the plates!! haven't had them 1 month yet and they are cracking!! Should've just kept using paper plates and saved my money!!!,plates,other,negative
Never seen cracks like this!,Spider web like cracks on the front of the plates!! haven't had them 1 month yet and they are cracking!! Should've just kept using paper plates and saved my money!!!,price,price,negative
Chemical odor,Very strong chemical odor from bands.  Will be returning.,chemical odor,other,negative
Chemical odor,Very strong chemical odor from bands.  Will be returning.,bands,other,negative
Easy to use,I like the handle so you can stay out of the water in the bowl.  Cleans stains great.,handle,other,positive
Easy to use,I like the handle so you can stay out of the water in the bowl.  Cleans stains great.,cleans stains,other,positive
as pictured,Item arrived quickly. Exactly as pictured. There were only a few unusable pieces due to broken or defect.,Item arrived quickly,other,positive
as pictured,Item arrived quickly. Exactly as pictured. There were only a few unusable pieces due to broken or defect.,Exactly as pictured,other,positive
as pictured,Item arrived quickly. Exactly as pictured. There were only a few unusable pieces due to broken or defect.,There were only a few unusable pieces due to broken or defect,other,negative
Very Detailed Painting,Keep in mind that you will need small tools to put together the frames and attach the canvas.  The paint by numbers  process is great for beginners.  Some of the numbers may be a little hard to read in some spaces for those with eyesight challenges,paint by numbers process,other,positive
Very Detailed Painting,Keep in mind that you will need small tools to put together the frames and attach the canvas.  The paint by numbers  process is great for beginners.  Some of the numbers may be a little hard to read in some spaces for those with eyesight challenges,frames and canvas attachment,other,neutral
Very Detailed Painting,Keep in mind that you will need small tools to put together the frames and attach the canvas.  The paint by numbers  process is great for beginners.  Some of the numbers may be a little hard to read in some spaces for those with eyesight challenges,number readability for those with eyesight challenges,other,negative
Very Detailed Painting,Keep in mind that you will need small tools to put together the frames and attach the canvas.  The paint by numbers  process is great for beginners.  Some of the numbers may be a little hard to read in some spaces for those with eyesight challenges,tool requirements,other,neutral
Awesome,The security lights work as advertised,security lights,other,positive
Awesome,The security lights work as advertised,work as advertised,other,positive
Grip should be on both sides not just one,Thought they would be good grip for my tri pod dog/ but they move constantly… the grip is only on one side so if they move-  no more grip.,grip,other,negative
Grip should be on both sides not just one,Thought they would be good grip for my tri pod dog/ but they move constantly… the grip is only on one side so if they move-  no more grip.,design (one side grip),quality,negative
Grip should be on both sides not just one,Thought they would be good grip for my tri pod dog/ but they move constantly… the grip is only on one side so if they move-  no more grip.,product performance (constant movement),functionality,negative
Good,Notice difference in skin and hair,skin,other,positive
Good,Notice difference in skin and hair,hair,other,positive
Excellent!,Very powerful immersion blender.  I love how easy it is to clean too!,power,other,positive
Excellent!,Very powerful immersion blender.  I love how easy it is to clean too!,ease of cleaning,other,positive
Works perfectly for stereo rig.,This product was perfect for my inexpensive wet/dry stereo pedal board. This is my 2nd Dinner pedal and I am continuously impressed by the value.,product value,price,positive
Works perfectly for stereo rig.,This product was perfect for my inexpensive wet/dry stereo pedal board. This is my 2nd Dinner pedal and I am continuously impressed by the value.,value for money,price,positive
"Beware, cheap looking!!","Received these shoes on Saturday and was excited to wear, but they look so cheap, uncomfortable, the sole is hard.",look,appearance,negative
"Beware, cheap looking!!","Received these shoes on Saturday and was excited to wear, but they look so cheap, uncomfortable, the sole is hard.",comfort,comfort,negative
"Beware, cheap looking!!","Received these shoes on Saturday and was excited to wear, but they look so cheap, uncomfortable, the sole is hard.",sole,other,negative
Waste of money,I bought 2 of these. DO NOT WASTE YOUR MONEY. These are just fans that do not push much air out.,performance,functionality,negative
Waste of money,I bought 2 of these. DO NOT WASTE YOUR MONEY. These are just fans that do not push much air out.,value for money,price,negative
Waste of money,I bought 2 of these. DO NOT WASTE YOUR MONEY. These are just fans that do not push much air out.,product description (fans),other,negative
Works easy,Nice an eazy,quality/ease of use,quality,positive
Works easy,Nice an eazy,other (nice),other,positive
Great!,Box was damaged a bit but it was held in an Amazon bag. All of mine worked fine. The flashlights seem pretty bright and the alarms are all very loud.,flashlights,other,positive
Great!,Box was damaged a bit but it was held in an Amazon bag. All of mine worked fine. The flashlights seem pretty bright and the alarms are all very loud.,alarms,other,positive
Great!,Box was damaged a bit but it was held in an Amazon bag. All of mine worked fine. The flashlights seem pretty bright and the alarms are all very loud.,Box packaging,other,negative
AWESOME,"Ordered a 2xl.  Normally wear a 20/22.  Plenty of room,  perfect stretch and fit",size,other,positive
AWESOME,"Ordered a 2xl.  Normally wear a 20/22.  Plenty of room,  perfect stretch and fit",stretch,other,positive
AWESOME,"Ordered a 2xl.  Normally wear a 20/22.  Plenty of room,  perfect stretch and fit",fit,other,positive
Loving it,It fits perfectly.  I bought a xl so could have a snug fit. It's not tight or anything and it stays in place. Thanks,fits,other,positive
Loving it,It fits perfectly.  I bought a xl so could have a snug fit. It's not tight or anything and it stays in place. Thanks,size (XL),other,positive
Best price,Best one ever,product quality,quality,positive
Great Fit,Was very happy with this coil I thought I would not be able to find this part for such a odd engine. Thanks,availability,other,positive
Great Fit,Was very happy with this coil I thought I would not be able to find this part for such a odd engine. Thanks,product quality,quality,positive
????,Great protection items around the kitchen and countertops,protection,other,positive
????,Great protection items around the kitchen and countertops,kitchen,other,positive
????,Great protection items around the kitchen and countertops,countertops,other,positive
Cheaply made,I planned to use it for the beach but it’s cheaply made. I do not feel it is sturdy.,sturdiness,other,negative
Cheaply made,I planned to use it for the beach but it’s cheaply made. I do not feel it is sturdy.,quality,quality,negative
Cheaply made,I planned to use it for the beach but it’s cheaply made. I do not feel it is sturdy.,value for money,price,negative
Uneven flavor.,I love this kind of popcorn and I decided to give the bowl a try. The butter does not distribute evenly over all the popcorn (in all 12 buckets) and there’s extreme amount of salt. You’ll be satisfied at first with its buttery taste but as you get further down into the bowl there’s hardly any flavor. You also have to be on top of when it finishes popping or else the bottom of the bucket gets burnt and you risk burning your popcorn. In my opinion you got more flavor distributed in the single serving bags.,kind of popcorn,other,positive
Uneven flavor.,I love this kind of popcorn and I decided to give the bowl a try. The butter does not distribute evenly over all the popcorn (in all 12 buckets) and there’s extreme amount of salt. You’ll be satisfied at first with its buttery taste but as you get further down into the bowl there’s hardly any flavor. You also have to be on top of when it finishes popping or else the bottom of the bucket gets burnt and you risk burning your popcorn. In my opinion you got more flavor distributed in the single serving bags.,butter distribution,other,negative
