reviewTitle,reviewBody,title_sentiment,body_sentiment,title_aspects,title_sentiments,body_aspects,body_sentiments
Todo lo demás bien,Él pega no sale muy bueno,positive,negative,"['demás', 'bien', 'lo']","[{'aspect': 'demás', 'negative': np.float32(0.001062695), 'neutral': np.float32(0.009255251), 'positive': np.float32(0.989682)}, {'aspect': 'bien', 'negative': np.float32(0.0062806704), 'neutral': np.float32(0.064160466), 'positive': np.float32(0.9295589)}, {'aspect': 'lo', 'negative': np.float32(0.0036791677), 'neutral': np.float32(0.03134634), 'positive': np.float32(0.96497446)}]","['Él', 'muy', 'bueno', 'pega', 'sale']","[{'aspect': 'Él', 'negative': np.float32(0.9653823), 'neutral': np.float32(0.021593243), 'positive': np.float32(0.013024473)}, {'aspect': 'muy', 'negative': np.float32(0.95670885), 'neutral': np.float32(0.035387855), 'positive': np.float32(0.007903197)}, {'aspect': 'bueno', 'negative': np.float32(0.6715181), 'neutral': np.float32(0.29066882), 'positive': np.float32(0.037813168)}, {'aspect': 'pega', 'negative': np.float32(0.98753417), 'neutral': np.float32(0.003903509), 'positive': np.float32(0.008562377)}, {'aspect': 'sale', 'negative': np.float32(0.7271525), 'neutral': np.float32(0.13666868), 'positive': np.float32(0.1361788)}]"
Where’s the poster?,"I like Buffalo puzzles, particularly Aimee Stewart’s puzzles.  I’m surprised and disappointed that there was not a poster included. The listing said one would be included. I’ve noticed a few others have made the same comment.",negative,negative,['poster'],"[{'aspect': 'poster', 'negative': np.float32(0.9877517), 'neutral': np.float32(0.006388623), 'positive': np.float32(0.0058597187)}]","['Buffalo', 'Aimee', 'puzzles', 'comment', 'poster', 'listing', 'others', 'Stewart']","[{'aspect': 'Buffalo', 'negative': np.float32(0.15895697), 'neutral': np.float32(0.56427985), 'positive': np.float32(0.27676314)}, {'aspect': 'Aimee', 'negative': np.float32(0.35220513), 'neutral': np.float32(0.21945328), 'positive': np.float32(0.42834157)}, {'aspect': 'puzzles', 'negative': np.float32(0.082272395), 'neutral': np.float32(0.4884326), 'positive': np.float32(0.42929497)}, {'aspect': 'comment', 'negative': np.float32(0.9309022), 'neutral': np.float32(0.058426276), 'positive': np.float32(0.0106714815)}, {'aspect': 'poster', 'negative': np.float32(0.9945056), 'neutral': np.float32(0.0029491568), 'positive': np.float32(0.0025452578)}, {'aspect': 'listing', 'negative': np.float32(0.88728744), 'neutral': np.float32(0.05395517), 'positive': np.float32(0.05875735)}, {'aspect': 'others', 'negative': np.float32(0.77093136), 'neutral': np.float32(0.14577751), 'positive': np.float32(0.083291166)}, {'aspect': 'Stewart', 'negative': np.float32(0.2744666), 'neutral': np.float32(0.1270222), 'positive': np.float32(0.59851116)}]"
Stains on the ceiling,"The kids love them, but, beware the stains.",negative,negative,"['ceiling', 'Stains']","[{'aspect': 'ceiling', 'negative': np.float32(0.98188156), 'neutral': np.float32(0.016820936), 'positive': np.float32(0.0012975002)}, {'aspect': 'Stains', 'negative': np.float32(0.5773924), 'neutral': np.float32(0.41856608), 'positive': np.float32(0.004041534)}]","['kids', 'stains']","[{'aspect': 'kids', 'negative': np.float32(0.002259122), 'neutral': np.float32(0.0063623935), 'positive': np.float32(0.99137855)}, {'aspect': 'stains', 'negative': np.float32(0.9932081), 'neutral': np.float32(0.0028822361), 'positive': np.float32(0.003909671)}]"
It doesn’t work the printer will not except it. Now I’m out the $,Waist of $ will not work,negative,negative,['printer'],"[{'aspect': 'printer', 'negative': np.float32(0.9971328), 'neutral': np.float32(0.0018899782), 'positive': np.float32(0.0009771673)}]",['Waist'],"[{'aspect': 'Waist', 'negative': np.float32(0.99634016), 'neutral': np.float32(0.0016595076), 'positive': np.float32(0.0020004115)}]"
Poor screen cover,Case is good but screen cover didn't last a day. Wouldn't read finger print and didn't adhear to screen. We could be nice if top plate held cover down.,negative,negative,"['cover', 'screen']","[{'aspect': 'cover', 'negative': np.float32(0.99357855), 'neutral': np.float32(0.0051631657), 'positive': np.float32(0.0012582266)}, {'aspect': 'screen', 'negative': np.float32(0.99453485), 'neutral': np.float32(0.00454023), 'positive': np.float32(0.0009248392)}]","['Case', 'finger', 'day', 'print', 'screen', 'cover', 'plate']","[{'aspect': 'Case', 'negative': np.float32(0.003997216), 'neutral': np.float32(0.002459656), 'positive': np.float32(0.99354315)}, {'aspect': 'finger', 'negative': np.float32(0.9910439), 'neutral': np.float32(0.0074656825), 'positive': np.float32(0.0014903579)}, {'aspect': 'day', 'negative': np.float32(0.97847545), 'neutral': np.float32(0.019296953), 'positive': np.float32(0.002227567)}, {'aspect': 'print', 'negative': np.float32(0.991896), 'neutral': np.float32(0.005234544), 'positive': np.float32(0.002869564)}, {'aspect': 'screen', 'negative': np.float32(0.99640477), 'neutral': np.float32(0.002159845), 'positive': np.float32(0.00143542)}, {'aspect': 'cover', 'negative': np.float32(0.99460185), 'neutral': np.float32(0.0028092891), 'positive': np.float32(0.002588894)}, {'aspect': 'plate', 'negative': np.float32(0.9759961), 'neutral': np.float32(0.015278718), 'positive': np.float32(0.008725267)}]"
Great Except for Tiny Slots in Bottom,I like this little caddy. Nice tough plastic. Would have been perfect except for the little slots in the bottom which I covered with plastic. Using it to store computer repair tools.,negative,neutral,"['Slots', 'Bottom']","[{'aspect': 'Slots', 'negative': np.float32(0.96959734), 'neutral': np.float32(0.00536473), 'positive': np.float32(0.025037885)}, {'aspect': 'Bottom', 'negative': np.float32(0.9898093), 'neutral': np.float32(0.0030925802), 'positive': np.float32(0.0070980196)}]","['bottom', 'repair', 'computer', 'tools', 'plastic', 'caddy', 'slots']","[{'aspect': 'bottom', 'negative': np.float32(0.98325837), 'neutral': np.float32(0.0051152115), 'positive': np.float32(0.01162639)}, {'aspect': 'repair', 'negative': np.float32(0.0062349704), 'neutral': np.float32(0.94600695), 'positive': np.float32(0.04775803)}, {'aspect': 'computer', 'negative': np.float32(0.0015799652), 'neutral': np.float32(0.9912033), 'positive': np.float32(0.0072167227)}, {'aspect': 'tools', 'negative': np.float32(0.007582928), 'neutral': np.float32(0.6575916), 'positive': np.float32(0.33482543)}, {'aspect': 'plastic', 'negative': np.float32(0.014418325), 'neutral': np.float32(0.013767401), 'positive': np.float32(0.97181433)}, {'aspect': 'caddy', 'negative': np.float32(0.0012193704), 'neutral': np.float32(0.0023367077), 'positive': np.float32(0.9964439)}, {'aspect': 'slots', 'negative': np.float32(0.9782688), 'neutral': np.float32(0.003902249), 'positive': np.float32(0.017828915)}]"
Perfect,"To say I love this is an understatement.  Looks great, easy to install and fits great where I put it.",neutral,positive,[],[],['understatement'],"[{'aspect': 'understatement', 'negative': np.float32(0.1478187), 'neutral': np.float32(0.42189348), 'positive': np.float32(0.4302878)}]"
Looks correct broke easily,Was beautiful but broke within a couple of days. Might be because my wrists are large?,neutral,negative,[],[],"['couple', 'days', 'wrists']","[{'aspect': 'couple', 'negative': np.float32(0.5982021), 'neutral': np.float32(0.32121706), 'positive': np.float32(0.08058076)}, {'aspect': 'days', 'negative': np.float32(0.774501), 'neutral': np.float32(0.17546637), 'positive': np.float32(0.050032627)}, {'aspect': 'wrists', 'negative': np.float32(0.99283326), 'neutral': np.float32(0.003436304), 'positive': np.float32(0.0037304603)}]"
"Large bag, but I question durability","The value for the money is good, I gave them 4 stars only because opening the bag is hard and it tears easily.",positive,negative,"['bag', 'durability']","[{'aspect': 'bag', 'negative': np.float32(0.0024925175), 'neutral': np.float32(0.004184724), 'positive': np.float32(0.9933228)}, {'aspect': 'durability', 'negative': np.float32(0.990529), 'neutral': np.float32(0.0034777005), 'positive': np.float32(0.005993264)}]","['money', 'bag', 'value', 'stars']","[{'aspect': 'money', 'negative': np.float32(0.015033827), 'neutral': np.float32(0.41410938), 'positive': np.float32(0.5708568)}, {'aspect': 'bag', 'negative': np.float32(0.99547774), 'neutral': np.float32(0.0029123877), 'positive': np.float32(0.0016099294)}, {'aspect': 'value', 'negative': np.float32(0.0014536044), 'neutral': np.float32(0.0018667678), 'positive': np.float32(0.99667966)}, {'aspect': 'stars', 'negative': np.float32(0.81938607), 'neutral': np.float32(0.16858286), 'positive': np.float32(0.012031107)}]"
Dog responds to cues,"So far so good , its been a few days and dog is responding well",positive,positive,"['Dog', 'cues']","[{'aspect': 'Dog', 'negative': np.float32(0.0026409472), 'neutral': np.float32(0.015936173), 'positive': np.float32(0.9814229)}, {'aspect': 'cues', 'negative': np.float32(0.006555024), 'neutral': np.float32(0.11573437), 'positive': np.float32(0.87771064)}]","['dog', 'days']","[{'aspect': 'dog', 'negative': np.float32(0.000774193), 'neutral': np.float32(0.0063971207), 'positive': np.float32(0.99282867)}, {'aspect': 'days', 'negative': np.float32(0.0018810312), 'neutral': np.float32(0.05070566), 'positive': np.float32(0.9474133)}]"
Worked great!,Easy to use. Found the after spray inside packed inside of the warmer.,neutral,neutral,[],[],"['spray', 'warmer']","[{'aspect': 'spray', 'negative': np.float32(0.0132772075), 'neutral': np.float32(0.6873374), 'positive': np.float32(0.2993854)}, {'aspect': 'warmer', 'negative': np.float32(0.0008216894), 'neutral': np.float32(0.99705017), 'positive': np.float32(0.0021281226)}]"
the worst,the heat melted the finish and stained my cook top. i would give it a zero stars if i could,neutral,negative,[],[],"['heat', 'cook', 'top', 'stars', 'finish']","[{'aspect': 'heat', 'negative': np.float32(0.99336505), 'neutral': np.float32(0.005615505), 'positive': np.float32(0.0010195016)}, {'aspect': 'cook', 'negative': np.float32(0.89061797), 'neutral': np.float32(0.10244558), 'positive': np.float32(0.0069363643)}, {'aspect': 'top', 'negative': np.float32(0.8981698), 'neutral': np.float32(0.087981306), 'positive': np.float32(0.013848925)}, {'aspect': 'stars', 'negative': np.float32(0.94712174), 'neutral': np.float32(0.044742756), 'positive': np.float32(0.008135537)}, {'aspect': 'finish', 'negative': np.float32(0.9688372), 'neutral': np.float32(0.027138278), 'positive': np.float32(0.0040244614)}]"
"Good quality, fun, simple!",Very pretty! Very easy. Love how it was packaged. It came with 3 strands separated in individual packaging. The strands are nice and long. Good quality too. Love that I can use them multiple times.,positive,positive,"['quality', 'fun']","[{'aspect': 'quality', 'negative': np.float32(0.00043150125), 'neutral': np.float32(0.0012557002), 'positive': np.float32(0.99831283)}, {'aspect': 'fun', 'negative': np.float32(0.003431724), 'neutral': np.float32(0.013517103), 'positive': np.float32(0.98305124)}]","['times', 'quality', 'packaging', 'strands']","[{'aspect': 'times', 'negative': np.float32(0.00083327317), 'neutral': np.float32(0.008235947), 'positive': np.float32(0.99093086)}, {'aspect': 'quality', 'negative': np.float32(0.0005106186), 'neutral': np.float32(0.0019252478), 'positive': np.float32(0.9975642)}, {'aspect': 'packaging', 'negative': np.float32(0.00073226425), 'neutral': np.float32(0.0043873847), 'positive': np.float32(0.9948803)}, {'aspect': 'strands', 'negative': np.float32(0.00077034615), 'neutral': np.float32(0.00605211), 'positive': np.float32(0.99317753)}]"
"Dried up paint, completely unusable",I cannot review the product as all the paint is dried up and completely unusable,negative,negative,['paint'],"[{'aspect': 'paint', 'negative': np.float32(0.9961235), 'neutral': np.float32(0.002275226), 'positive': np.float32(0.0016013252)}]","['product', 'paint']","[{'aspect': 'product', 'negative': np.float32(0.91692364), 'neutral': np.float32(0.078753136), 'positive': np.float32(0.004323263)}, {'aspect': 'paint', 'negative': np.float32(0.9960555), 'neutral': np.float32(0.0023619512), 'positive': np.float32(0.001582525)}]"
Great deal,"These gloves are exactly what i was looking for. Very comfortable to wear, good grip, really helped reduction of corns on my palms.",positive,positive,['deal'],"[{'aspect': 'deal', 'negative': np.float32(0.0007438819), 'neutral': np.float32(0.0016067183), 'positive': np.float32(0.9976494)}]","['grip', 'corns', 'palms', 'gloves', 'reduction']","[{'aspect': 'grip', 'negative': np.float32(0.00053622253), 'neutral': np.float32(0.0014313989), 'positive': np.float32(0.9980324)}, {'aspect': 'corns', 'negative': np.float32(0.6763279), 'neutral': np.float32(0.15765423), 'positive': np.float32(0.16601786)}, {'aspect': 'palms', 'negative': np.float32(0.09311042), 'neutral': np.float32(0.7502668), 'positive': np.float32(0.15662278)}, {'aspect': 'gloves', 'negative': np.float32(0.0010521468), 'neutral': np.float32(0.005875633), 'positive': np.float32(0.9930722)}, {'aspect': 'reduction', 'negative': np.float32(0.009052173), 'neutral': np.float32(0.031056246), 'positive': np.float32(0.9598916)}]"
*For ATH-M50X* About low-star reviews.,"Okay, so let's nip this in the bud. The people who left bad reviews because their ""sound stage changed"" and ""it sounds like X, Y, and also Z!"" - take it with a grain of salt. There's a few reasons for this. First and foremost... duh. It's like moving your speaker that was 2 feet away and surrounded in concrete, to 4 feet away and surrounded in wood. Anyone who orders these thinking the sound will not change shouldn't be writing clarity-centric reviews trying to sound like an audiophile. Because an audiophile wouldn't even get these. Master Technicians don't get Harbor Freight tools, they get Snap-On.",negative,negative,"['reviews', 'ATH', 'M50X', 'star']","[{'aspect': 'reviews', 'negative': np.float32(0.9951273), 'neutral': np.float32(0.0028201132), 'positive': np.float32(0.0020524568)}, {'aspect': 'ATH', 'negative': np.float32(0.0783429), 'neutral': np.float32(0.91948116), 'positive': np.float32(0.0021758555)}, {'aspect': 'M50X', 'negative': np.float32(0.016675558), 'neutral': np.float32(0.9817468), 'positive': np.float32(0.0015775871)}, {'aspect': 'star', 'negative': np.float32(0.99460006), 'neutral': np.float32(0.003265788), 'positive': np.float32(0.0021341264)}]","['On', 'Master', 'grain', 'Technicians', 'Harbor', 'stage', 'people', 'clarity', 'tools', 'audiophile', 'bud', 'Freight', 'reviews', 'reasons', 'Y', 'wood', 'sound', 'concrete', 'salt', 'X', 'feet', 'speaker']","[{'aspect': 'On', 'negative': np.float32(0.7229745), 'neutral': np.float32(0.19352561), 'positive': np.float32(0.083499916)}, {'aspect': 'Master', 'negative': np.float32(0.85479), 'neutral': np.float32(0.08407136), 'positive': np.float32(0.061138682)}, {'aspect': 'grain', 'negative': np.float32(0.6624293), 'neutral': np.float32(0.26164067), 'positive': np.float32(0.075930074)}, {'aspect': 'Technicians', 'negative': np.float32(0.9433166), 'neutral': np.float32(0.026347257), 'positive': np.float32(0.030336037)}, {'aspect': 'Harbor', 'negative': np.float32(0.75652635), 'neutral': np.float32(0.19779392), 'positive': np.float32(0.045679722)}, {'aspect': 'stage', 'negative': np.float32(0.9496655), 'neutral': np.float32(0.035002854), 'positive': np.float32(0.015331685)}, {'aspect': 'people', 'negative': np.float32(0.9287952), 'neutral': np.float32(0.046571914), 'positive': np.float32(0.024632853)}, {'aspect': 'clarity', 'negative': np.float32(0.25914574), 'neutral': np.float32(0.5394704), 'positive': np.float32(0.20138392)}, {'aspect': 'tools', 'negative': np.float32(0.8370866), 'neutral': np.float32(0.107261665), 'positive': np.float32(0.055651736)}, {'aspect': 'audiophile', 'negative': np.float32(0.9244075), 'neutral': np.float32(0.047036555), 'positive': np.float32(0.028555954)}, {'aspect': 'bud', 'negative': np.float32(0.65512234), 'neutral': np.float32(0.2510896), 'positive': np.float32(0.093788125)}, {'aspect': 'Freight', 'negative': np.float32(0.65483403), 'neutral': np.float32(0.31024945), 'positive': np.float32(0.0349165)}, {'aspect': 'reviews', 'negative': np.float32(0.8628326), 'neutral': np.float32(0.09054655), 'positive': np.float32(0.046620872)}, {'aspect': 'reasons', 'negative': np.float32(0.7470417), 'neutral': np.float32(0.16000095), 'positive': np.float32(0.092957385)}, {'aspect': 'Y', 'negative': np.float32(0.7894673), 'neutral': np.float32(0.15320955), 'positive': np.float32(0.057323143)}, {'aspect': 'wood', 'negative': np.float32(0.118536815), 'neutral': np.float32(0.839682), 'positive': np.float32(0.04178117)}, {'aspect': 'sound', 'negative': np.float32(0.8234535), 'neutral': np.float32(0.13402313), 'positive': np.float32(0.042523358)}, {'aspect': 'concrete', 'negative': np.float32(0.7800741), 'neutral': np.float32(0.20802175), 'positive': np.float32(0.011904128)}, {'aspect': 'salt', 'negative': np.float32(0.7306301), 'neutral': np.float32(0.1845868), 'positive': np.float32(0.084783174)}, {'aspect': 'X', 'negative': np.float32(0.79962397), 'neutral': np.float32(0.14478524), 'positive': np.float32(0.05559077)}, {'aspect': 'feet', 'negative': np.float32(0.18937765), 'neutral': np.float32(0.75735444), 'positive': np.float32(0.053267945)}, {'aspect': 'speaker', 'negative': np.float32(0.77840954), 'neutral': np.float32(0.20017776), 'positive': np.float32(0.021412734)}]"
the Ratchet belt is very nice and resistent to use all time,"nothing bad to report, it's a good belt.",positive,positive,"['Ratchet', 'time', 'belt']","[{'aspect': 'Ratchet', 'negative': np.float32(0.00051496597), 'neutral': np.float32(0.0018502072), 'positive': np.float32(0.99763477)}, {'aspect': 'time', 'negative': np.float32(0.0033105665), 'neutral': np.float32(0.034533538), 'positive': np.float32(0.9621559)}, {'aspect': 'belt', 'negative': np.float32(0.00083102245), 'neutral': np.float32(0.0031086777), 'positive': np.float32(0.9960603)}]",['belt'],"[{'aspect': 'belt', 'negative': np.float32(0.002662635), 'neutral': np.float32(0.010152843), 'positive': np.float32(0.98718446)}]"
It works and that is what I am all about.,I love it as safety precautions,neutral,positive,[],[],"['safety', 'precautions']","[{'aspect': 'safety', 'negative': np.float32(0.0129775675), 'neutral': np.float32(0.06589931), 'positive': np.float32(0.9211232)}, {'aspect': 'precautions', 'negative': np.float32(0.0041889288), 'neutral': np.float32(0.015380968), 'positive': np.float32(0.9804301)}]"
Works great! Super easy to assemble,"When I first saw the box, I thought, ""This is going to break easily"". Nope. It is super strong. I weigh almost 300 lbs and I can sit on it without a problem. And I assembled it in less than 5 minutes.",positive,positive,['Works'],"[{'aspect': 'Works', 'negative': np.float32(0.00046444134), 'neutral': np.float32(0.0020356963), 'positive': np.float32(0.9974999)}]","['problem', 'box', 'lbs', 'minutes']","[{'aspect': 'problem', 'negative': np.float32(0.50585693), 'neutral': np.float32(0.07240928), 'positive': np.float32(0.42173374)}, {'aspect': 'box', 'negative': np.float32(0.25353152), 'neutral': np.float32(0.3832876), 'positive': np.float32(0.36318088)}, {'aspect': 'lbs', 'negative': np.float32(0.18277587), 'neutral': np.float32(0.5710423), 'positive': np.float32(0.24618182)}, {'aspect': 'minutes', 'negative': np.float32(0.024185127), 'neutral': np.float32(0.09608878), 'positive': np.float32(0.8797261)}]"
High quality and great value,My Sig P365 fits like a glove. The lock feature works great and I am very pleased with the comfort.,positive,positive,"['quality', 'value']","[{'aspect': 'quality', 'negative': np.float32(0.0004129096), 'neutral': np.float32(0.0015186083), 'positive': np.float32(0.9980685)}, {'aspect': 'value', 'negative': np.float32(0.00053944386), 'neutral': np.float32(0.0015439291), 'positive': np.float32(0.99791664)}]","['glove', 'P365', 'Sig', 'comfort', 'feature', 'lock']","[{'aspect': 'glove', 'negative': np.float32(0.0047667497), 'neutral': np.float32(0.0613943), 'positive': np.float32(0.93383896)}, {'aspect': 'P365', 'negative': np.float32(0.0022936836), 'neutral': np.float32(0.07650217), 'positive': np.float32(0.9212041)}, {'aspect': 'Sig', 'negative': np.float32(0.0021089094), 'neutral': np.float32(0.06137215), 'positive': np.float32(0.9365189)}, {'aspect': 'comfort', 'negative': np.float32(0.00060921826), 'neutral': np.float32(0.0014526193), 'positive': np.float32(0.9979381)}, {'aspect': 'feature', 'negative': np.float32(0.0027886399), 'neutral': np.float32(0.023128187), 'positive': np.float32(0.97408324)}, {'aspect': 'lock', 'negative': np.float32(0.00093852746), 'neutral': np.float32(0.0035231232), 'positive': np.float32(0.9955383)}]"
Sizes are real small,This was way small,negative,neutral,['Sizes'],"[{'aspect': 'Sizes', 'negative': np.float32(0.99709904), 'neutral': np.float32(0.0015991146), 'positive': np.float32(0.0013019637)}]",[],[]
They don't work in my AC5000E,"Tried both filters in my unit and neither worked, unit wouldn't turn on. put the old filter back in and unit turned on as normal. These are much flimsier then the OEM filters and I think the might be stooping the sensors from letting unit turn on.",neutral,negative,['AC5000E'],"[{'aspect': 'AC5000E', 'negative': np.float32(0.012385803), 'neutral': np.float32(0.9861668), 'positive': np.float32(0.0014473955)}]","['OEM', 'sensors', 'filters', 'filter', 'unit']","[{'aspect': 'OEM', 'negative': np.float32(0.97648585), 'neutral': np.float32(0.014367388), 'positive': np.float32(0.009146775)}, {'aspect': 'sensors', 'negative': np.float32(0.99641293), 'neutral': np.float32(0.0021810771), 'positive': np.float32(0.0014060581)}, {'aspect': 'filters', 'negative': np.float32(0.99150085), 'neutral': np.float32(0.006759088), 'positive': np.float32(0.0017400609)}, {'aspect': 'filter', 'negative': np.float32(0.98932356), 'neutral': np.float32(0.008333156), 'positive': np.float32(0.002343261)}, {'aspect': 'unit', 'negative': np.float32(0.98581934), 'neutral': np.float32(0.010932415), 'positive': np.float32(0.0032482683)}]"
It's not quite to my taste,It's a little spicy. Flavor isn't quite my preference but this is subjective so I can't knock it for that.,negative,negative,['taste'],"[{'aspect': 'taste', 'negative': np.float32(0.8195274), 'neutral': np.float32(0.16579208), 'positive': np.float32(0.014680479)}]","['preference', 'spicy', 'Flavor']","[{'aspect': 'preference', 'negative': np.float32(0.9230258), 'neutral': np.float32(0.07109534), 'positive': np.float32(0.005878887)}, {'aspect': 'spicy', 'negative': np.float32(0.946848), 'neutral': np.float32(0.032588657), 'positive': np.float32(0.020563316)}, {'aspect': 'Flavor', 'negative': np.float32(0.9910019), 'neutral': np.float32(0.0073766815), 'positive': np.float32(0.0016214668)}]"
Love it,Love love love this belt the make is super awesome the firmness everything about this belt is well made true to size color is good. Happy happy happy with this buy,neutral,positive,[],[],"['make', 'love', 'firmness', 'Love', 'buy', 'belt', 'color']","[{'aspect': 'make', 'negative': np.float32(0.00033929525), 'neutral': np.float32(0.0012026262), 'positive': np.float32(0.998458)}, {'aspect': 'love', 'negative': np.float32(0.0004289868), 'neutral': np.float32(0.0021287038), 'positive': np.float32(0.99744236)}, {'aspect': 'firmness', 'negative': np.float32(0.00038199662), 'neutral': np.float32(0.0014803398), 'positive': np.float32(0.9981376)}, {'aspect': 'Love', 'negative': np.float32(0.0004350695), 'neutral': np.float32(0.002140165), 'positive': np.float32(0.99742484)}, {'aspect': 'buy', 'negative': np.float32(0.00043162482), 'neutral': np.float32(0.0018863693), 'positive': np.float32(0.997682)}, {'aspect': 'belt', 'negative': np.float32(0.00038171286), 'neutral': np.float32(0.0016349987), 'positive': np.float32(0.9979832)}, {'aspect': 'color', 'negative': np.float32(0.0003458672), 'neutral': np.float32(0.0015481133), 'positive': np.float32(0.998106)}]"
broken already!,bought this in 2020 but didn’t start using it until 2 months ago. I weight 115 lbs & husband weighs 155 lbs. both chairs are broken from the plastic elbow. not sure what happened.,neutral,negative,[],[],"['months', 'husband', 'chairs', 'elbow', 'lbs', 'plastic']","[{'aspect': 'months', 'negative': np.float32(0.94690907), 'neutral': np.float32(0.046272177), 'positive': np.float32(0.0068187364)}, {'aspect': 'husband', 'negative': np.float32(0.95165265), 'neutral': np.float32(0.03536836), 'positive': np.float32(0.012979018)}, {'aspect': 'chairs', 'negative': np.float32(0.9961397), 'neutral': np.float32(0.0029292023), 'positive': np.float32(0.00093111163)}, {'aspect': 'elbow', 'negative': np.float32(0.99518085), 'neutral': np.float32(0.0027124889), 'positive': np.float32(0.0021067667)}, {'aspect': 'lbs', 'negative': np.float32(0.64148474), 'neutral': np.float32(0.33421373), 'positive': np.float32(0.024301583)}, {'aspect': 'plastic', 'negative': np.float32(0.9943025), 'neutral': np.float32(0.0031186813), 'positive': np.float32(0.0025788092)}]"
Perfect size,Perfect size for my business,positive,positive,['size'],"[{'aspect': 'size', 'negative': np.float32(0.0005693668), 'neutral': np.float32(0.0020001319), 'positive': np.float32(0.9974305)}]","['business', 'size']","[{'aspect': 'business', 'negative': np.float32(0.010663992), 'neutral': np.float32(0.72997683), 'positive': np.float32(0.25935924)}, {'aspect': 'size', 'negative': np.float32(0.00053299125), 'neutral': np.float32(0.0019588282), 'positive': np.float32(0.99750817)}]"
They work well,At first I wasn’t sure they were  going to stick together as I needed. But after figuring out where the adhesive was I was able to wrap my dinner ware. This is a pre-preparation project and when I went to get the dinnerware they wraps were still snug so I was very happy. With COVID we have to wear gloves and these wraps don’t stick and tear. Good product,neutral,positive,[],[],"['product', 'ware', 'dinnerware', 'adhesive', 'n’t', 'gloves', 'wraps', 'project', 'dinner']","[{'aspect': 'product', 'negative': np.float32(0.0034111834), 'neutral': np.float32(0.008109143), 'positive': np.float32(0.9884797)}, {'aspect': 'ware', 'negative': np.float32(0.0067040864), 'neutral': np.float32(0.036628854), 'positive': np.float32(0.95666707)}, {'aspect': 'dinnerware', 'negative': np.float32(0.0065009766), 'neutral': np.float32(0.023205958), 'positive': np.float32(0.9702931)}, {'aspect': 'adhesive', 'negative': np.float32(0.0128569435), 'neutral': np.float32(0.02828363), 'positive': np.float32(0.9588595)}, {'aspect': 'n’t', 'negative': np.float32(0.01141298), 'neutral': np.float32(0.027093653), 'positive': np.float32(0.9614933)}, {'aspect': 'gloves', 'negative': np.float32(0.010341787), 'neutral': np.float32(0.06532376), 'positive': np.float32(0.92433447)}, {'aspect': 'wraps', 'negative': np.float32(0.0066691297), 'neutral': np.float32(0.017672312), 'positive': np.float32(0.9756586)}, {'aspect': 'project', 'negative': np.float32(0.0079761045), 'neutral': np.float32(0.030534673), 'positive': np.float32(0.96148926)}, {'aspect': 'dinner', 'negative': np.float32(0.0115223145), 'neutral': np.float32(0.26605996), 'positive': np.float32(0.7224178)}]"
Learn to use,Very nice product if you follow directions.,neutral,positive,[],[],"['directions', 'product']","[{'aspect': 'directions', 'negative': np.float32(0.013698441), 'neutral': np.float32(0.56383127), 'positive': np.float32(0.42247024)}, {'aspect': 'product', 'negative': np.float32(0.0007844469), 'neutral': np.float32(0.0029778306), 'positive': np.float32(0.99623775)}]"
Excellent Performer,"I got this because I was just starting out in ice fishing and didn't want to spring for a power auger right away.  It is easy to use, and I can cut an 8-in hole in 7 in thick ice in about 2 minutes.  I am very happy with my choice.",positive,neutral,"['Performer', 'Excellent']","[{'aspect': 'Performer', 'negative': np.float32(0.00045699175), 'neutral': np.float32(0.0013368687), 'positive': np.float32(0.99820614)}, {'aspect': 'Excellent', 'negative': np.float32(0.001003151), 'neutral': np.float32(0.004265417), 'positive': np.float32(0.9947314)}]","['minutes', 'choice', 'auger', 'hole', 'fishing', 'power', 'ice']","[{'aspect': 'minutes', 'negative': np.float32(0.006504728), 'neutral': np.float32(0.09422161), 'positive': np.float32(0.89927363)}, {'aspect': 'choice', 'negative': np.float32(0.002018026), 'neutral': np.float32(0.0048877983), 'positive': np.float32(0.9930942)}, {'aspect': 'auger', 'negative': np.float32(0.019455196), 'neutral': np.float32(0.37416774), 'positive': np.float32(0.60637707)}, {'aspect': 'hole', 'negative': np.float32(0.009528974), 'neutral': np.float32(0.19003575), 'positive': np.float32(0.80043525)}, {'aspect': 'fishing', 'negative': np.float32(0.0025184175), 'neutral': np.float32(0.96614134), 'positive': np.float32(0.031340256)}, {'aspect': 'power', 'negative': np.float32(0.01345898), 'neutral': np.float32(0.88832796), 'positive': np.float32(0.0982131)}, {'aspect': 'ice', 'negative': np.float32(0.003421784), 'neutral': np.float32(0.9613935), 'positive': np.float32(0.035184704)}]"
